region_code,region,dwelling_type,country,growth_1Y_ann,growth_3Y_ann,growth_5Y_ann,latest_index,latest_period,n_obs,avg_monthly_rent,avg_price_sqm,estimated_price,gross_yield_pct,permits_per_1000_stock,permits_rolling3y,completion_ratio,permit_momentum_yoy,volatility_qoq,national_avg_psqm,national_avg_yield,yield_premium,price_vs_national,supply_tightening,index_gap,_y1,_y2,_y3,_y4,_g1,_g2,_g3,_g4,_g5,_r1,_r2_raw,_r2,yield_score_raw,growth_score_raw,risk_score,composite_raw,risk_adjustment,composite_adj,yield_score,growth_score,composite_score,yield_pct_rank,growth_pct_rank,composite_pct_rank
03,Oslo,All dwelling types,NO,3.8153265876037956,0.7122090950393067,4.915409210621258,146.79534229276376,2024Q4,60,16504.666666666668,74725.91666666667,5230814.166666667,3.79,9.99,3293.0,0.801,17.75,1.4551978148454041,35871.33333333333,5.595,-1.8049999999999997,2.083165294478414,-17.75,14.130333382911886,0.0,0.0,0.2931726907630522,0.0,0.6015704712724261,0.5083335749967952,0.2931726907630522,0.6150310894836442,0.36357037677796045,0.4103846603561819,0.0,0.5,0.05863453815261044,0.49412774347331884,0.4462307962137091,0.2763811408129646,0.8884423009465727,0.245548696682109,5.9,49.4,24.6,6.2,35.0,12.5
03,Oslo,Apartments,NO,4.166817245491683,1.32494034345767,4.874326402548701,147.81585838416152,2024Q4,60,16504.666666666668,74725.91666666667,5230814.166666667,3.79,9.99,3293.0,0.801,17.75,1.4561017633805977,35871.33333333333,5.595,-1.8049999999999997,2.083165294478414,-17.75,13.109817291514133,0.0,0.0,0.2931726907630522,0.0,0.6490700412725066,0.654777986587159,0.2931726907630522,0.6150310894836442,0.3373127217175253,0.41233212126248625,0.0,0.5,0.05863453815261044,0.5447379303648944,0.44739927275749175,0.3016862342587524,0.8881501818106271,0.2679426838066744,5.9,54.5,26.8,6.2,47.5,18.8
03,Oslo,Detached houses,NO,3.893653516295026,-0.11256324031450049,3.901729636822404,124.2465520722823,2024Q4,60,16504.666666666668,74725.91666666667,5230814.166666667,3.79,9.99,3293.0,0.801,17.75,1.4077718416949276,35871.33333333333,5.595,-1.8049999999999997,2.083165294478414,-17.75,36.67912360339335,0.0,0.0,0.2931726907630522,0.0,0.6121553768702502,0.31121077497855687,0.2931726907630522,0.6150310894836442,0.943745800399723,0.30821044903981126,0.0,0.5,0.05863453815261044,0.506569302790174,0.38492626942388675,0.2826019204713922,0.9037684326440283,0.2554066947266225,5.9,50.7,25.5,6.2,42.5,15.0
03,Oslo,Semi-detached / terraced,NO,3.4266111625038675,0.5615342883305008,4.3330463158097965,137.6055692486194,2024Q4,60,16504.666666666668,74725.91666666667,5230814.166666667,3.79,9.99,3293.0,0.801,17.75,1.522505669435914,35871.33333333333,5.595,-1.8049999999999997,2.083165294478414,-17.75,23.32010642705626,0.0,0.0,0.2931726907630522,0.0,0.5490404391640497,0.4723218921147481,0.2931726907630522,0.6150310894836442,0.6000212203372507,0.5553922690848857,0.0,0.5,0.05863453815261044,0.49038439587080435,0.5332353614509314,0.2745094670117074,0.8666911596372672,0.23791492829578484,5.9,49.0,23.8,6.2,32.5,10.0
11,Rogaland,All dwelling types,NO,3.4548854604955492,2.0010613739793293,5.5607418526042895,149.52027027027026,2024Q4,60,12403.666666666666,38320.45,2682431.5,5.55,8.4,1437.0,0.877,3.51,1.4364785481066902,35871.33333333333,5.595,-0.04499999999999993,1.0682750385637556,-3.51,11.40540540540539,0.39461883408071746,0.39461883408071746,0.506024096385542,0.6634892410294326,0.5528613572070191,0.8163727260984848,0.506024096385542,1.0,0.293458577952823,0.3700559925736495,0.0,0.5,0.4572304475839897,0.6281453336194686,0.42203359554418973,0.5426878906017292,0.8944916011139525,0.48542976016949424,45.7,62.8,48.5,46.2,70.0,47.5
11,Rogaland,Apartments,NO,6.378132118451019,2.7693677064603683,6.120058606161494,160.92567567567565,2024Q4,60,12403.666666666666,38320.45,2682431.5,5.55,8.4,1437.0,0.877,3.51,1.5628785465098736,35871.33333333333,5.595,-0.04499999999999993,1.0682750385637556,-3.51,0.0,0.39461883408071746,0.39461883408071746,0.506024096385542,0.6634892410294326,0.947901612590837,1.0,0.506024096385542,1.0,0.0,0.6423713356085454,0.0,0.5,0.4572304475839897,0.7829703836839014,0.5854228013651273,0.6201004156339456,0.8536442996587181,0.5293451850219195,45.7,78.3,52.9,46.2,95.0,57.5
11,Rogaland,Detached houses,NO,-0.1004440685134389,-0.5719691948144368,3.265812832224202,127.68243243243242,2024Q4,60,12403.666666666666,38320.45,2682431.5,5.55,8.4,1437.0,0.877,3.51,1.3966197683921513,35871.33333333333,5.595,-0.04499999999999993,1.0682750385637556,-3.51,33.24324324324323,0.39461883408071746,0.39461883408071746,0.506024096385542,0.6634892410294326,0.07240300064272848,0.20141151982139754,0.506024096385542,1.0,0.855341352800883,0.28418449409233587,0.0,0.5,0.4572304475839897,0.36243288473750107,0.3705106964554015,0.4098316661607454,0.9073723258861496,0.3718699121460715,45.7,36.2,37.2,46.2,10.0,37.5
11,Rogaland,Semi-detached / terraced,NO,2.0649736663711504,-0.7795921378598414,3.2889466705891657,132.25,2024Q4,60,12403.666666666666,38320.45,2682431.5,5.55,8.4,1437.0,0.877,3.51,1.4124870065760562,35871.33333333333,5.595,-0.04499999999999993,1.0682750385637556,-3.51,28.67567567567565,0.39461883408071746,0.39461883408071746,0.506024096385542,0.6634892410294326,0.36503214730520883,0.1517890796317898,0.506024096385542,1.0,0.7378188417249889,0.31836876991237134,0.0,0.5,0.4572304475839897,0.44069522491437785,0.3910212619474228,0.44896283624918376,0.9022446845131443,0.40507433254977127,45.7,44.1,40.5,46.2,22.5,40.0
15,Møre og Romsdal,All dwelling types,NO,4.136298511181713,0.7776267549002513,4.731451521796326,141.66949152542372,2024Q4,60,9803.0,20373.116666666665,1426118.1666666665,8.25,4.71,554.0,0.863,19.62,1.4043096569122084,35871.33333333333,5.595,2.6550000000000002,0.5679498020703626,-19.62,19.256184150251926,1.0,1.0,1.0,0.9905791992729445,0.6449458157087857,0.5239685711401835,1.0,0.5644768856447688,0.4954573920583725,0.30075154042694036,0.0,0.5,0.9985868798909417,0.662716606053435,0.3804509242561642,0.8306517429721884,0.9048872689359589,0.7516461871349976,99.9,66.3,75.2,96.2,72.5,92.5
15,Møre og Romsdal,Apartments,NO,6.7636534287558,1.8384781444721776,4.843391035835665,154.23728813559322,2024Q4,60,9803.0,20373.116666666665,1426118.1666666665,8.25,4.71,554.0,0.863,19.62,1.4945189225186948,35871.33333333333,5.595,2.6550000000000002,0.5679498020703626,-19.62,6.688387540082431,1.0,1.0,1.0,0.9905791992729445,1.0,0.7775148982317082,1.0,0.5644768856447688,0.17209074351532935,0.4950978016523494,0.0,0.5,0.9985868798909417,0.8180354874739368,0.49705868099140965,0.9083111836824393,0.8757353297521476,0.7954401939597046,99.9,81.8,79.5,96.2,100.0,100.0
15,Møre og Romsdal,Detached houses,NO,3.4072541540053125,0.05006885302711872,4.319211987120264,135.54237288135593,2024Q4,60,9803.0,20373.116666666665,1426118.1666666665,8.25,4.71,554.0,0.863,19.62,1.4325475769901534,35871.33333333333,5.595,2.6550000000000002,0.5679498020703626,-19.62,25.383302794319718,1.0,1.0,1.0,0.9905791992729445,0.5464245813609028,0.3500802814328139,1.0,0.5644768856447688,0.6531068100601392,0.3615871337003648,0.0,0.5,0.9985868798909417,0.6005270434050102,0.4169522802202189,0.799556961647976,0.8957619299449453,0.7162126870667076,99.9,60.1,71.6,96.2,58.8,90.0
15,Møre og Romsdal,Semi-detached / terraced,NO,2.3826127382612805,1.8180439626776623,6.171838248865136,149.3050847457627,2024Q4,60,9803.0,20373.116666666665,1426118.1666666665,8.25,4.71,554.0,0.863,19.62,1.5599600040712607,35871.33333333333,5.595,2.6550000000000002,0.5679498020703626,-19.62,11.620590929912936,1.0,1.0,1.0,0.9905791992729445,0.4079570984850444,0.7726310739825732,1.0,0.5644768856447688,0.29899525427193824,0.6360836465628725,0.0,0.5,0.9985868798909417,0.6222899669570796,0.5816501879377235,0.8104384234240107,0.8545874530155692,0.6925905080998788,99.9,62.2,69.3,96.2,65.0,85.0
